id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col
1,NA,1,NaT,NA,NA,0,1.769,3,3
2,1,0,NaT,NA,NA,0,1.361,7,3
3,2,1,NaT,NA,NA,0,1.2489792,7,3
4,3,0,NaT,NA,NA,1,0.899,9,3
5,4,1,NaT,NA,NA,7,0.7928928,8,3
6,5,1,2002-09-11,1,1,7,0.68814377216,7,3
7,4,0,NaT,NA,NA,5,0.322,6,3
8,3,0,NaT,NA,NA,0,0.88,8,3
9,8,0,NaT,NA,NA,9,0.774136,10,3
10,9,1,NaT,NA,NA,9,0.6696270592,8,3
11,2,0,NaT,NA,NA,0,0.935,7,3
12,11,0,NaT,NA,NA,4,0.711,7,3
13,12,1,NaT,NA,NA,7,0.6072992,7,3
14,13,1,NaT,NA,NA,7,0.50492577024,7,3
15,12,0,NaT,NA,NA,5,0.369,6,3
16,11,0,NaT,NA,NA,3,0.53,6,3
17,16,1,NaT,NA,NA,7,0.428616,8,3
18,17,1,NaT,NA,NA,6,0.3285297152,6,3
19,1,0,NaT,NA,NA,0,1.304,8,3
20,19,0,NaT,NA,NA,0,0.663,6,3
21,20,1,NaT,NA,NA,3,0.5599136,11,3
22,21,0,NaT,NA,NA,8,0.37,7,3
23,21,0,NaT,NA,NA,9,0.425,7,3
24,19,0,NaT,NA,NA,0,1.144,8,3
25,24,1,NaT,NA,NA,8,1.0347568,10,3
26,25,0,NaT,NA,NA,9,0.79,9,3
27,26,1,NaT,NA,NA,8,0.685288,5,3
28,25,0,NaT,NA,NA,10,0.643,9,3
29,28,1,NaT,NA,NA,7,0.5401696,8,3
